game_id,season,week,gameday,team,off_epa,def_epa,plays,form_off_epa,form_def_epa,form_plays
2021_03_ATL_NYG,2021,3,2021-09-26,NYG,0.042378091642827964,0.033050417015100635,64,-0.018499980077821908,0.1610547946278135,56.8
2021_04_NYG_NO,2021,4,2021-10-03,NYG,0.23669252922473552,0.12604012047867558,61,0.002414857225404685,0.11537670037057376,59.0
2021_05_NYG_DAL,2021,5,2021-10-10,NYG,-0.12968985724492316,0.17673002035757243,64,0.06051212118982664,0.08773551363847679,59.4
2021_06_LA_NYG,2021,6,2021-10-17,NYG,-0.26378765937154913,0.16567818636440446,74,0.040132787146617804,0.14327411369953258,61.8
2021_07_CAR_NYG,2021,7,2021-10-24,NYG,-0.10835260964899626,-0.35488349370744665,64,-0.006853824630746413,0.12012189666082713,65.2
2021_08_NYG_KC,2021,8,2021-11-01,NYG,-0.05652014615188698,0.014602612260779968,55,-0.044551901079581034,0.029323050101661318,65.4
2021_09_LV_NYG,2021,9,2021-11-07,NYG,-0.04819892661422665,-0.0474283458022832,53,-0.06433154863852403,0.02563348915079718,63.6
2021_11_NYG_TB,2021,11,2021-11-22,NYG,-0.3832695515337244,0.10691125928341166,54,-0.12130983980631646,-0.009060204105394577,62.0
2021_12_PHI_NYG,2021,12,2021-11-28,NYG,-0.0546559733370818,-0.18960463795701799,57,-0.1720257786640767,-0.02302395632022673,60.0
2021_13_NYG_MIA,2021,13,2021-12-05,NYG,-0.16397064620527435,-0.03282360699400274,62,-0.13019944145718323,-0.09408052118451123,56.6
2021_14_NYG_LAC,2021,14,2021-12-12,NYG,-0.07148869130777717,0.22179390767962207,66,-0.14132304876843885,-0.029668543841822444,56.2
2021_15_DAL_NYG,2021,15,2021-12-19,NYG,-0.31376625583331574,0.029589192641689657,61,-0.1443167577996169,0.011769715241945977,58.4
2021_16_NYG_PHI,2021,16,2021-12-26,NYG,-0.3596878216998941,0.02244155998978777,73,-0.1974302236434347,0.027173222930740547,60.0
2021_17_NYG_CHI,2021,17,2022-01-02,NYG,-0.6801020399759587,-0.1673462852686971,55,-0.19271387767666867,0.010279283072015769,63.8
2021_18_WAS_NYG,2021,18,2022-01-09,NYG,-0.4534400133297668,-0.028147211081878253,59,-0.31780309100444404,0.014730953609679942,63.4
2022_01_NYG_TEN,2022,1,2022-09-11,NYG,0.018883001840735474,0.028325708807812773,60,-0.37569696442934253,0.01566623279210484,62.8
2022_02_CAR_NYG,2022,2,2022-09-18,NYG,-0.13796997981971235,-0.04787813656802849,68,-0.35762262579964,-0.02302740698225702,61.6
2022_03_DAL_NYG,2022,3,2022-09-26,NYG,-0.06829858489149461,0.18295199035866067,67,-0.3224633705969194,-0.03852087282420065,63.0
2022_04_CHI_NYG,2022,4,2022-10-02,NYG,0.07097742197445628,-0.08936706419416746,61,-0.2641855232352394,-0.0064187867504260695,61.8
2022_05_NYG_GB,2022,5,2022-10-09,NYG,0.2834103941296799,0.06511477674615081,56,-0.11396963084515643,0.00917705746447986,63.0
2022_06_BAL_NYG,2022,6,2022-10-16,NYG,0.12714391382464668,0.12312934553408315,59,0.033400450646732915,0.02782945503008567,62.4
2022_07_NYG_JAX,2022,7,2022-10-23,NYG,0.16958020949109068,0.13958950351242885,70,0.05505263304351515,0.04679018237533975,62.2
2022_08_NYG_SEA,2022,8,2022-10-30,NYG,-0.10184879519542413,-0.09442014092243546,64,0.11656267090567578,0.0842837103914312,62.6
2022_10_HOU_NYG,2022,10,2022-11-13,NYG,0.14421190018946134,0.009542445940531826,66,0.10985262884488985,0.02880928413521199,62.0
2022_11_DET_NYG,2022,11,2022-11-20,NYG,-0.02195011375432719,0.11251965154239409,73,0.12449952448789088,0.04859118616215184,63.0
2022_12_NYG_DAL,2022,12,2022-11-24,NYG,-0.06909114040541846,0.14236666576014034,56,0.06342742291108946,0.0580721611214005,66.4
2022_13_WAS_NYG,2022,13,2022-12-04,NYG,-0.10025252306204607,0.04276337495808707,62,0.024180412065076436,0.06191962516661194,65.8
2022_14_PHI_NYG,2022,14,2022-12-11,NYG,-0.05947608684732404,0.39852165294488967,64,-0.029786134445550914,0.04255439945574358,64.2
2022_15_NYG_WAS,2022,15,2022-12-18,NYG,0.0718189209323096,-0.09581635156161121,59,-0.0213115927759309,0.1411427582292086,64.2
2022_16_NYG_MIN,2022,16,2022-12-24,NYG,0.024351611119021187,-0.017624588448778403,67,-0.03579018862736125,0.12007099872877999,62.8
2022_17_IND_NYG,2022,17,2023-01-01,NYG,0.2080396064417058,-0.1686704988324334,61,-0.026529843652691575,0.09404215073054549,61.6
2022_18_NYG_PHI,2022,18,2023-01-08,NYG,-0.0017186217959183972,-0.00029252048784370206,64,0.028896305716733277,0.03183471781203075,62.6
2023_01_DAL_NYG,2023,1,2023-09-10,NYG,-0.46106273078249926,0.05990976477124927,65,0.04860308596995881,0.023223538722844595,63.0
2023_02_NYG_ARI,2023,2,2023-09-17,NYG,0.2223894054768939,0.1778705323474945,67,-0.03171424281707623,-0.044498838911883484,63.2
2023_03_NYG_SF,2023,3,2023-09-21,NYG,-0.2318574866329739,0.18594551487493277,47,-0.0016001459081593672,0.010238537869937659,64.8
2023_04_SEA_NYG,2023,4,2023-10-02,NYG,-0.4532766870056074,-0.114886375461754,74,-0.05284196545855839,0.05095255853467989,60.8
2023_05_NYG_MIA,2023,5,2023-10-08,NYG,-0.16425444445177884,0.09747356676850288,68,-0.18510522414802105,0.06170938320881577,63.4
2023_06_NYG_BUF,2023,6,2023-10-15,NYG,-0.15634067549055033,-0.017308061093822477,71,-0.2176123886791931,0.08126260066008509,64.2
2023_07_WAS_NYG,2023,7,2023-10-22,NYG,-0.051175535339214845,-0.23017099172767588,62,-0.15666797762080334,0.06581903548707073,65.4
2023_08_NYJ_NYG,2023,8,2023-10-29,NYG,-0.3725217989357318,-0.4133525790997827,70,-0.2113809657840251,-0.015789269327963335,64.4
2023_09_NYG_LV,2023,9,2023-11-05,NYG,-0.39015385567691796,0.0020437746367750207,63,-0.23951382824457665,-0.1356488881229064,69.0
2023_10_NYG_DAL,2023,10,2023-11-12,NYG,-0.25041148977120076,0.30986557386284785,54,-0.2268892619788388,-0.11226285810320062,66.8
2023_11_NYG_WAS,2023,11,2023-11-19,NYG,-0.022890550747692525,-0.17081263140632713,54,-0.24412067104272314,-0.06978445668433161,64.0
2023_12_NE_NYG,2023,12,2023-11-26,NYG,-0.24232583341528338,-0.163918993335001,49,-0.2174306460941516,-0.10048537074683254,60.6
2023_14_GB_NYG,2023,14,2023-12-11,NYG,0.00993595895967054,-0.0392457314717331,54,-0.2556607057093653,-0.08723497106829758,58.0
2023_15_NYG_NO,2023,15,2023-12-17,NYG,-0.3010920882446756,0.08767844235863632,60,-0.17916915413028484,-0.012413601542687664,54.8
2023_16_NYG_PHI,2023,16,2023-12-25,NYG,-0.06430624724016024,0.13014396851299717,58,-0.16135680064383637,0.0047133320016845975,54.2
2023_17_LA_NYG,2023,17,2023-12-31,NYG,-0.06790670621118,0.01830953916942235,67,-0.12413575213762826,-0.031230989068285538,55.0
2023_18_PHI_NYG,2023,18,2024-01-07,NYG,0.08833822686131428,-0.28213642327148813,66,-0.13313898323032575,0.00659344504686436,57.6
2024_01_MIN_NYG,2024,1,2024-09-08,NYG,-0.3572422129885817,0.15555473473854364,68,-0.06700617117500621,-0.017050040940433064,61.0
2024_02_NYG_WAS,2024,2,2024-09-15,NYG,0.09884589799967998,0.15648809882807774,53,-0.14044180556465666,0.021910052301622285,63.8
2024_03_NYG_CLE,2024,3,2024-09-22,NYG,0.04435736410041135,-0.377381554168326,66,-0.06045420831578556,0.03567198359551057,62.4
2024_04_DAL_NYG,2024,4,2024-09-26,NYG,-0.04494051165357972,0.20791502489900995,64,-0.03872148604767124,-0.06583312094075407,64.0
2024_05_NYG_SEA,2024,5,2024-10-06,NYG,0.01300696217955271,-0.09542315789686209,70,-0.03412824713615119,-0.027912023794836555,63.4
2024_06_CIN_NYG,2024,6,2024-10-13,NYG,-0.1374357061992767,0.03341397806081556,71,-0.0491945000725035,0.009430629280088653,64.2
2024_07_PHI_NYG,2024,7,2024-10-20,NYG,-0.42661412718492403,0.14653977094531,54,-0.005233198714642495,-0.014997522055456963,64.8
2024_08_NYG_PIT,2024,8,2024-10-28,NYG,0.043494613495584936,0.08404874594364914,68,-0.1103252037515633,-0.016987187632010507,65.0
2024_09_WAS_NYG,2024,9,2024-11-03,NYG,0.10500855010039493,0.3115800560732508,61,-0.11049775387252858,0.07529887239038452,65.4
2024_10_NYG_CAR,2024,10,2024-11-10,NYG,-0.12398125862417528,-0.01719173711026695,71,-0.08050794152173366,0.0960318786252327,64.8
2024_12_TB_NYG,2024,12,2024-11-24,NYG,-0.2526268650375476,0.2624369768002441,55,-0.10790558568247925,0.11167816278255172,65.0
2024_13_NYG_DAL,2024,13,2024-11-28,NYG,-0.22846491891259044,-0.14145098609861034,59,-0.13094381745013345,0.15748276253043744,61.8
2024_14_NO_NYG,2024,14,2024-12-08,NYG,-0.13311092229646188,-0.08197251833949344,74,-0.09131397579566672,0.09988461112165338,62.8
